metodo,accuracy_mean,accuracy_std,fitness,n_features,percentual_features,features
Híbrido AG 3 - Compacto/esparso,0.7105263157894737,0.09541307995093834,0.6924256710942966,18,0.12,"['min.histogram.9', 'h_mean.histogram.9', 'var.histogram.0', 'class_conc.histogram.0', 'best_node.max', 'mad.histogram.0', 'elite_nn.median.relative', 't_mean.histogram.9', 'worst_node.mean.relative', 'tree_depth.histogram.5', 'range.histogram.0', 'best_node.histogram.6', 'g_mean.histogram.9', 'random_node.histogram.8.relative', 'one_nn.max.relative', 'cov.histogram.0', 'cov.min', 'naive_bayes.histogram.5']"
Híbrido AG 1 - Clássico binário,0.6660818713450292,0.10379746307524579,0.6433231297831008,71,0.47333333333333333,"['median.histogram.9', 'h_mean.histogram.9', 'var.histogram.0', 'class_conc.histogram.0', 'best_node.max', 't_mean.histogram.9', 'sparsity.histogram.9', 'worst_node.mean.relative', 'tree_depth.histogram.5', 'range.histogram.0', 'max.histogram.9', 'leaves_homo.histogram.0', 'range.min', 'g_mean.histogram.9', 'random_node.histogram.8.relative', 'elite_nn.min.relative', 'one_nn.min', 'joint_ent.histogram.0', 't4', 'leaves_branch.sd', 'f3.mean', 'tree_shape.sd', 'leaves_homo.max', 'cov.histogram.0', 'impconceptvar.histogram.3', 'var_importance.histogram.9', 'f3.min', 'min.max', 'hubs.histogram.4', 'leaves_homo.mean', 'nodes_per_level.mean', 'conceptvar.sd', 'density', 'mean.histogram.9', 'random_node.sd', 'worst_node.histogram.0.relative', 'conceptvar.mean', 'elite_nn.histogram.9.relative', 'hubs.histogram.6', 'naive_bayes.min', 'elite_nn.max.relative', 'elite_nn.min', 'naive_bayes.mean.relative', 'nodes_repeated.max', 'impconceptvar.histogram.0', 'n3.histogram.9', 'can_cor.mean', 'one_nn.mean.relative', 'f3.max', 'random_node.histogram.0.relative', 'class_conc.max', 'n3.histogram.0', 'tree_imbalance.histogram.9', 'tree_shape.min', 'naive_bayes.histogram.5', 'tree_depth.histogram.3', 'cov.histogram.9', 'tree_depth.histogram.1', 'can_cor.min', 'one_nn.sd.relative', 'g_mean.histogram.0', 'tree_imbalance.mean', 'nr_outliers', 'hubs.mean', 'l1.mean', 'linear_discr.histogram.2.relative', 'best_node.mean', 'naive_bayes.max', 'cohesiveness.histogram.5', 'mut_inf.histogram.9', 'nodes_repeated.sd']"
Híbrido AG 2 - Guiado por MI + busca local,0.6649122807017545,0.10845706802287022,0.6433667290198447,30,0.2,"['leaves', 't_mean.histogram.9', 'sparsity.histogram.9', 'leaves_corrob.mean', 'max.histogram.9', 'range.min', 'elite_nn.mean', 'random_node.histogram.8.relative', 'elite_nn.min.relative', 't4', 'leaves_branch.sd', 'leaves_branch.max', 'nodes_repeated.histogram.0', 'impconceptvar.mean', 'mean.histogram.0', 'elite_nn.min', 'naive_bayes.mean.relative', 'one_nn.mean.relative', 'inst_to_attr', 'tree_imbalance.histogram.9', 'cov.histogram.9', 'sparsity.histogram.3', 'one_nn.sd.relative', 'range.median', 'elite_nn.histogram.8.relative', 'linear_discr.min.relative', 'linear_discr.histogram.2.relative', 'l2.mean', 'naive_bayes.max', 'mut_inf.histogram.9']"
