,method,decision_tree_mean,decision_tree_std,random_forest_mean,random_forest_std,naive_bayes_mean,naive_bayes_std,svm_mean,svm_std,knn_mean,knn_std,overall_mean,n_entries
4,GA-only (melhor),0.2765957446808511,,0.5851063829787234,,0.5212765957446809,,0.5425531914893617,,0.43617021276595747,,0.47234042553191485,1
5,Hybrid Seeded GA,0.3297872340425532,0.06643614891913191,0.5531914893617021,0.028146290543240346,0.46808510638297873,0.07446808510638299,0.5319148936170213,0.03191489361702127,0.4645390070921986,0.03419734312408849,0.4695035460992908,3
0,all meta features,0.425531914893617,,0.5319148936170213,,0.425531914893617,,0.5425531914893617,,0.39361702127659576,,0.46382978723404256,1
2,Knapsack Problem ILP,0.3893617021276595,0.178584038874411,0.4914893617021276,0.044120087985803656,0.33404255319148934,0.1054748473016633,0.4829787234042554,0.08122812412264288,0.41063829787234046,0.09353236017163093,0.42170212765957443,5
1,Best Subset Selection by Filter MILP,0.3872340425531915,0.16038799718922894,0.451063829787234,0.048518103195707984,0.3531914893617022,0.07649224686062786,0.46382978723404256,0.058558974232012256,0.3872340425531915,0.034142141565704706,0.4085106382978723,5
3,Correlation Penalized milp,0.3595744680851064,0.24321950286338062,0.37872340425531914,0.22284631443023256,0.2127659574468085,0.15101137836785522,0.32340425531914896,0.1864890886138477,0.26595744680851063,0.16221224129762665,0.3080851063829787,5
