Dataset,attr_conc.mean,attr_conc.sd,attr_ent.mean,attr_ent.sd,attr_to_inst,can_cor.mean,can_cor.sd,cat_to_num,class_conc.mean,class_conc.sd,class_ent,cor.mean,cor.sd,cov.mean,cov.sd,eigenvalues.mean,eigenvalues.sd,eq_num_attr,freq_class.mean,freq_class.sd,g_mean.mean,g_mean.sd,gravity,h_mean.mean,h_mean.sd,inst_to_attr,iq_range.mean,iq_range.sd,joint_ent.mean,joint_ent.sd,kurtosis.mean,kurtosis.sd,lh_trace,mad.mean,mad.sd,max.mean,max.sd,mean.mean,mean.sd,median.mean,median.sd,min.mean,min.sd,mut_inf.mean,mut_inf.sd,nr_attr,nr_bin,nr_cat,nr_class,nr_cor_attr,nr_disc,nr_inst,nr_norm,nr_num,nr_outliers,ns_ratio,num_to_cat,p_trace,range.mean,range.sd,roy_root,sd.mean,sd.sd,sd_ratio,skewness.mean,skewness.sd,sparsity.mean,sparsity.sd,t_mean.mean,t_mean.sd,var.mean,var.sd,w_lambda,DecisionTree,SVM,KNN,LR,MLP
dionis_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,0.09332272007172737,0.18290474312331872,3.022522652942206,1.2300880357123694,0.03,,,0.0,0.3086649766166466,0.08780579262182929,8.450085425476393,,,819708899.3641762,5667790203.7082,6811897166.058672,50420380469.567024,5.492541629769498,0.0028169014084507044,0.0005142011289239952,,,93521.87023331763,,,33.333333333333336,1628.1,1461.6672025522598,9.93414264746455,0.6270749741531966,,,,1142.0467800000004,1069.7049092425148,660087.9833333333,2261863.7389510246,1519.0334583333338,4093.8505057492357,1747.8166666666666,3703.2307172900023,-925532.4166666666,2637010.220077033,1.5384654309540506,0.6330859993602949,60,0,0,355,0.07175141242937853,,2000,6.0,60,54,0.9646347536504899,,,1585620.4,3631682.306661343,,33943.02036917869,75866.30882360206,,,,0.10274827115976638,0.30182688944198505,1737.957875,3668.76328424928,6811897166.058669,23990781609.69837,,0.20349660004832418,0.00949825387606497,0.13750557153855505,0.29450214832523675,0.07699303501402452
dionis_seed_1_nrows_2000_nclasses_10_ncols_100_stratify_True,0.01481017952645521,0.017995320315812698,3.0198473344568573,1.2329925677788065,0.03,0.49313735333545927,0.26371346363490467,0.0,0.30757315706865207,0.08911432968921304,8.450085425476393,,,87897076.5706063,496294441.54081076,1187969128.128541,4639567385.359584,5.506027017594038,0.0028169014084507044,0.0005142011289239952,,,52689.88791207949,,,33.333333333333336,1640.8291666666667,1500.069329253515,9.935235345904067,0.6304358994115414,,,52.48842143976315,1154.32765,1096.2447433655484,374450.75,760037.5077847909,1714.8525333333332,3733.104487147249,1751.475,3710.151574665316,-374717.11666666664,737597.4722553816,1.5346974140291847,0.6323834609955626,60,0,0,355,0.022033898305084745,60.0,2000,6.0,60,52,0.9677151384054071,,18.69420961851887,749167.8666666667,1332421.9130124836,7.198839386855023,17817.82943964886,29753.121166935805,,,,0.10346208759043599,0.3017001421390332,1739.2974444444444,3675.1985999254157,1187969128.1285415,2508364173.408181,5.105971339214179e-13,0.19598759178969075,0.008500254377315846,0.1309975642809226,0.3109946528237383,0.02650326488407448
dionis_seed_2_nrows_2000_nclasses_10_ncols_100_stratify_True,0.056310284163073675,0.1356966718607632,3.0206659220900898,1.2313754387210538,0.03,0.4910597902151331,0.27517409076634003,0.0,0.31160389859812315,0.08871325600966957,8.450085425476393,,,308357993216.90393,2038019432094.7778,2232188854739.954,17248291833901.73,5.470550650914573,0.0028169014084507044,0.0005142011289239952,,,96832.94285269805,,,33.333333333333336,1658.3416666666667,1516.7553536729251,9.926101464092012,0.6269988133487202,,,57.17904936190634,1164.23636,1110.1262756836038,10940630.316666666,37836165.3231758,-848.7726833333334,33458.480857665934,1749.7083333333333,3707.971311678997,-16044570.7,52135701.56607421,1.5446498834744724,0.637498621609836,60,0,0,355,0.10056497175141244,60.0,2000,6.0,60,54,0.9555667303036514,,18.935909087483665,26985201.016666666,63632267.13127601,8.529002105695836,586860.5840187541,1385561.2005023132,,,,0.10258656236237898,0.3018539938239467,1733.1833194444441,3672.9752072081897,2232188854739.9536,6536657948037.379,1.7150999972273126e-13,0.22199110654882767,0.005500252876564721,0.12149705927816871,0.2689931310620966,0.039998769384076725
dionis_seed_3_nrows_2000_nclasses_10_ncols_100_stratify_True,0.09901522446000413,0.1811730862919522,3.020440201874965,1.231249880314935,0.03,0.4881763074537229,0.2784549100972467,0.0,0.3110475292767659,0.08822591646417831,8.450085425476393,,,2129546601467.3396,11359938409609.508,12593081919282.977,97460367886857.69,5.4663118174228895,0.0028169014084507044,0.0005142011289239952,,,65533.326580196335,,,33.333333333333336,1610.1208333333334,1443.3645152639103,9.924677950213134,0.6238559681494242,,,58.438062549286485,1125.6640499999999,1056.7750468650115,32033974.716666665,110278978.42366962,-42.206358333333284,80975.62733214216,1758.9083333333333,3718.0818837133183,-36340192.416666664,105087137.77136935,1.5458476771382232,0.6378646706994437,60,0,0,355,0.10056497175141244,60.0,2000,6.0,60,54,0.9539054504170853,,18.873657510027787,68374167.13333334,145039520.31922847,8.145239658018895,1520319.4868279467,3233570.295853269,,,,0.10273983138980892,0.301839108302989,1746.8816111111112,3679.136153394378,12593081919282.98,38573406124453.805,1.3384260363451393e-13,0.2254968611790201,0.006000003001502251,0.15350357854105978,0.23998661329995663,0.03750377063720392
dionis_seed_4_nrows_2000_nclasses_10_ncols_100_stratify_True,0.012586144222471424,0.010101295814218,3.0196673166049925,1.2328559999352715,0.03,,,0.0,0.31277413246533486,0.08643496875968272,8.450085425476393,,,171139887.22333744,1465170119.2780564,6609641020.4558735,43194299944.746414,5.456289647604987,0.0028169014084507044,0.0005142011289239952,,,168628.54505821777,,,33.333333333333336,1635.2208333333333,1471.7148881691098,9.921065635782783,0.623828667124218,,,,1147.223525,1078.6633331285527,461195.2,1184565.089278129,1359.4897249999997,4320.190686261063,1755.55,3711.2598946897,-796443.6166666667,2815080.5080000283,1.5486871062986034,0.6397787236020853,60,0,0,355,0.023728813559322035,,2000,6.0,60,54,0.9498240182434685,,,1257638.8166666667,3838016.045506604,,26894.169538196176,77369.97621142134,,,,0.10314528383316042,0.30175817329604515,1736.0707916666665,3675.7888964061235,6609641020.455877,41656447011.70134,,0.21249660455057753,0.006000003001502251,0.14150657404030717,0.27200738969854416,0.07248027637832735
Fetal_cardiotocography_dataset,0.039858673450235894,0.05522979756764682,2.042658395551808,1.4623686057249552,0.016933207902163686,0.9688777457882927,0.035939519617648345,0.0,0.09686172145812326,0.16394276476347547,0.9742047584181182,,,1320.8601347828924,31332.56592773662,46459.9198841455,269896.6807964412,7.957076986421279,0.3333333333333333,0.38650317318772354,,,192.3956200803595,,,59.05555555555556,89.13749999999999,334.07572802221273,2.894430662732177,1.433139791418144,,,94.9303249019115,49.753585,182.1044775966041,264.8527777777778,792.2892456983158,102.68996811957771,312.90827287901715,79.36388888888888,222.7927212875909,24.894444444444446,57.30311357506523,0.12243249123774909,0.1273919690513197,36,11,0,3,0.05555555555555555,2.0,2126,1.0,36,25,15.683956806736967,,1.8787398216379543,239.95833333333334,761.0414981645688,86.82902549453587,58.47900099869811,210.40400238916095,,,,0.211618008634419,0.25759653425372087,91.6710205503309,275.44028845290916,46459.9198841455,193636.87721147045,0.0012510035273765436,0.8922336969658334,0.7784577625843673,0.7394409781156451,0.8367319292709553,0.8433637732781909
first-order-theorem-proving,0.14475791960581091,0.1131965546639586,3.3438800107756994,0.961858704214723,0.008336057535142204,0.28020048141557063,0.1084234284061876,0.0,0.016189218084373982,0.00849066880755459,2.3000070580673455,0.23782530348256709,0.21736638050125515,0.23252544314943976,0.21345354257163993,0.9902509755931391,2.2624145141021765,21.67261035598311,0.16666666666666666,0.12737275134258388,,,1.4430381321868357,,,119.96078431372548,0.6756467794117647,0.48913726759554066,5.537762009595977,0.9326675954308925,227.92792815917937,589.3786755368322,0.5094836927124824,0.3209576376588235,0.29598061854919616,14.915953921568626,15.456558922561268,-0.0005510331198841106,0.019781702773370904,-0.1625565294117647,0.28568472845641246,-1.176286705882353,1.0212708527977343,0.10612505924706885,0.037312692552020216,51,0,0,6,0.12705882352941175,5.0,6118,0.0,51,46,30.508863547400626,,0.4395841082369946,16.09224062745098,15.025622348510323,0.2549021064587202,0.9916438519187989,0.08385293957687127,,7.437327695804745,11.334262908999055,0.006730694440604201,0.010837519604526207,-0.1479718880291768,0.19278017556477678,0.9902509755931393,0.19795607152624412,0.6235540031864317,0.49313549189497613,0.5129125837027635,0.5117687928530903,0.4607670843390487,0.531219968778749
first-order-theorem-proving_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,0.11228674434547273,0.1522285350507814,2.9110038000773977,0.8013278786538383,0.0255,0.3213202845828277,0.10321575304547727,0.0,0.020548677093394956,0.008981532650846202,2.3000113174598753,0.24638567765227695,0.2194849107486411,0.25494552793844627,0.24224618018203223,1.155872721225412,2.571914985419441,23.078984548855946,0.16666666666666666,0.1273835415847223,,,1.407876760146267,,,39.21568627450981,0.6792533333333332,0.4907232285058393,5.111356862964114,0.7765168476822613,107.93552174633986,241.56085488276008,0.660136116434153,0.3241858828764706,0.30104235669962925,12.387961764705883,14.205809747694174,0.009309603803921571,0.025856340579536924,-0.16211832352941175,0.28378812525441977,-1.1644369019607843,1.0050266980122917,0.0996582545731584,0.03219252655264196,51,0,0,6,0.1388235294117647,5.0,2000,0.0,51,45,28.209861366179666,,0.5588475931289267,13.552398666666667,13.855254880021466,0.2843656116045539,1.0538436293152058,0.21492336471568171,,5.710202736913504,7.646151110230498,0.008363516653189507,0.013512438755506388,-0.1468995175,0.19067764720527944,1.1558727212254116,0.5562300650262034,0.5454893480854013,0.48750099424762094,0.49500550025287654,0.502001251626439,0.47599923761842805,0.5299940120030076
first-order-theorem-proving_seed_1_nrows_2000_nclasses_10_ncols_100_stratify_True,0.08319384179317191,0.05649786751788417,2.9307743008586526,0.8071041318408638,0.0255,0.30772294522264787,0.09242794427339955,0.0,0.018672922486251308,0.00763631090885325,2.3000113174598753,0.23733296538372556,0.2147039353680059,0.22169218680049216,0.2070389123081571,1.001867741607217,2.2039010955267475,24.270773170224906,0.16666666666666666,0.1273835415847223,,,1.2174168278991262,,,39.21568627450981,0.6628661470588235,0.4882218488817486,5.136020968617072,0.7806553613205379,150.94166419674605,403.0609135889685,0.5876041865935563,0.3131516614470588,0.29801454037810693,11.899987254901962,14.243515657842634,-0.007461744225490194,0.026316130583061842,-0.16372735294117646,0.2865745000613155,-1.1640847450980392,1.0150853523685157,0.09476464970145664,0.03463913851516765,51,0,0,6,0.12627450980392158,5.0,2000,0.0,51,46,29.926873154616885,,0.5076387546129304,13.064072000000001,13.893206562914292,0.24986161250610284,0.9859199432399859,0.17443107312476486,,6.322976570282401,9.598653063095414,0.008471764650538364,0.013420538314762875,-0.14999831514705883,0.19525043283724985,1.0018677416072166,0.4077441127812885,0.5797034556039129,0.46850073461767616,0.5004914959937449,0.5024972498735617,0.46700073386730057,0.510497003750377
first-order-theorem-proving_seed_2_nrows_2000_nclasses_10_ncols_100_stratify_True,0.11009934315253093,0.0597508254316744,2.9287503591548587,0.7823431886843605,0.0255,0.30452077374636866,0.11278740003751014,0.0,0.020234998456123268,0.008715929694341719,2.3000113174598753,0.2482683837307632,0.21628895822782115,0.24106231181134677,0.22754870597225338,0.99086848074476,2.427529330869906,22.56279801129692,0.16666666666666666,0.1273835415847223,,,1.439730318464287,,,39.21568627450981,0.6721095392156863,0.4865940879868979,5.126823463264232,0.7565131040676862,65.52193582408663,127.50067303268948,0.6104821712556637,0.3205401258705882,0.3052456004257457,9.644734313725492,11.066997488007893,-0.0014344843039215695,0.030133557729751643,-0.16608264705882353,0.28335207197300133,-1.1567190588235294,0.9960516280946368,0.10193821335050235,0.03388795503445618,51,0,0,6,0.1419607843137255,5.0,2000,0.0,51,47,27.73064244401362,,0.5145484986443207,10.801453372549018,10.768409850489759,0.3038374701366143,0.9645409123673977,0.2484751401981941,,4.5330805822171785,5.039186977860781,0.0091479987991046,0.015530639746148805,-0.15456571228758167,0.18752335053489583,0.99086848074476,0.539080465921275,0.5717848737527824,0.47749923836880354,0.47800649224937075,0.4905084995040017,0.4780132456294375,0.5064982523753139
first-order-theorem-proving_seed_3_nrows_2000_nclasses_10_ncols_100_stratify_True,0.11823865811525677,0.06921933361472206,2.926947131418654,0.7859958081664452,0.0255,0.3169252591787654,0.09971677259347053,0.0,0.020830823111852442,0.009202289156689228,2.3000113174598753,0.25044582195526116,0.21498276523817705,0.23147127281547508,0.21871324400947265,0.8938136926232298,2.2897098179637814,22.05045337330768,0.16666666666666666,0.1273835415847223,,,1.6175369284183738,,,39.21568627450981,0.6913461813725491,0.5107435888492852,5.12265169025904,0.7580532220004143,52.229354409048796,97.76152363792197,0.6373590140907129,0.32588941934705873,0.3007511522567053,8.421818627450982,7.603176906413535,0.005043783911764705,0.03542595780053471,-0.15847276470588237,0.27895183212743657,-1.1424898431372548,0.9675063717192021,0.10430675861948782,0.03689076642814245,51,0,0,6,0.13254901960784313,5.0,2000,0.0,51,46,27.060953769028416,,0.54198183847347,9.564308470588236,7.275270313384878,0.28643074517260786,0.9255066085517677,0.1949262279767392,,4.121197951967813,4.423944988649238,0.009048095602887225,0.014933468892597312,-0.1399591065359477,0.19057961846783228,0.8938136926232301,0.26934805431229164,0.5562963681060296,0.4770077423750587,0.4929997463730597,0.502489746117932,0.47799673736705217,0.5275012643828236
