metodo,accuracy_mean,accuracy_std,fitness,n_features,percentual_features,features
AG 2 - Guiado por MI + busca local,0.6865497076023391,0.07001443518809611,0.6684007499803669,31,0.20666666666666667,"['min.histogram.9', 'var.histogram.0', 't_mean.histogram.9', 'sparsity.histogram.9', 'worst_node.mean.relative', 'range.min', 'elite_nn.mean', 'random_node.histogram.8.relative', 'eigenvalues.histogram.9', 't4', 'cov.histogram.0', 'hubs.histogram.4', 'two_itemset.histogram.6', 'nodes_per_level.median', 'iq_range.histogram.9', 'leaves_homo.median', 'nodes_per_level.max', 'one_nn.max', 'elite_nn.max.relative', 'nodes_per_level.histogram.4', 'one_nn.mean', 'can_cor.max', 'naive_bayes.histogram.5', 'tree_depth.histogram.3', 'cov.histogram.9', 'one_nn.sd.relative', 'one_itemset.histogram.9', 'elite_nn.histogram.8.relative', 'impconceptvar.histogram.6', 'linear_discr.histogram.2.relative', 'mut_inf.histogram.9']"
AG 3 - Compacto/esparso,0.6660818713450292,0.07234464137633737,0.6507494392788042,18,0.12,"['median.histogram.9', 'var.histogram.0', 'class_conc.histogram.0', 'elite_nn.median.relative', 't_mean.histogram.9', 'sparsity.histogram.9', 'worst_node.mean.relative', 'tree_depth.histogram.5', 'max.histogram.9', 'range.min', 'random_node.histogram.8.relative', 'sd.histogram.0', 'mad.histogram.9', 'nr_attr', 'leaves_homo.sd', 'eigenvalues.histogram.9', 'one_nn.min', 'joint_ent.histogram.0']"
AG 1 - Clássico binário,0.6339181286549708,0.05414964692243291,0.6149978496628684,66,0.44,"['median.histogram.9', 'class_conc.histogram.0', 't_mean.histogram.9', 'sparsity.histogram.9', 'tree_depth.histogram.5', 'range.histogram.0', 'best_node.histogram.6', 'max.histogram.9', 'leaves_homo.histogram.0', 'range.min', 'elite_nn.mean', 'random_node.histogram.8.relative', 'one_nn.min', 'joint_ent.histogram.0', 't4', 'f3.mean', 'leaves_branch.max', 'cov.histogram.0', 'leaves_branch.mean', 'impconceptvar.histogram.3', 'nodes_repeated.histogram.0', 'min.max', 'nodes_per_level.histogram.9', 'impconceptvar.mean', 'nodes_per_level.median', 'random_node.sd', 'elite_nn.histogram.9.relative', 'conceptvar.histogram.0', 'hubs.histogram.6', 'mean.histogram.0', 'naive_bayes.min', 'wg_dist.mean', 'elite_nn.max.relative', 'random_node.mean.relative', 'naive_bayes.mean.relative', 'impconceptvar.histogram.0', 'n3.histogram.9', 'elite_nn.mean.relative', 'n1', 'one_nn.mean.relative', 'nodes_per_level.histogram.4', 'can_cor.max', 'random_node.histogram.0.relative', 'worst_node.max', 'class_conc.max', 'max.histogram.0', 'n3.histogram.0', 'tree_imbalance.histogram.9', 'sd.histogram.9', 'tree_depth.histogram.1', 'sparsity.histogram.3', 'one_nn.sd.relative', 'range.median', 'best_node.sd.relative', 'one_itemset.histogram.9', 'tree_imbalance.mean', 'random_node.min', 'linear_discr.min.relative', 'hubs.mean', 'l1.mean', 'impconceptvar.histogram.6', 'l2.mean', 'mut_inf.sd', 'mut_inf.histogram.9', 'skewness.min', 'attr_conc.histogram.0']"
