metodo,accuracy_mean,accuracy_std,fitness,n_features,percentual_features,features
AG 2 - Guiado por MI + busca local,0.6982456140350877,0.032158425929514664,0.6787354032258489,42,0.28,"['median.histogram.9', 'h_mean.histogram.9', 'leaves', 'var.histogram.0', 'class_conc.histogram.0', 'wg_dist.max', 'tree_depth.histogram.5', 'range.histogram.0', 'leaves_homo.histogram.0', 'range.min', 'g_mean.histogram.9', 'random_node.histogram.8.relative', 'mad.histogram.9', 'one_nn.max.relative', 'one_nn.min', 'cov.histogram.0', 'var_importance.mean', 'min.max', 'nodes_per_level.median', 'leaves_homo.median', 'nodes_per_level.max', 'impconceptvar.histogram.2', 'mean.histogram.0', 'elite_nn.max.relative', 'random_node.mean.relative', 'elite_nn.min', 'attr_ent.histogram.0', 'naive_bayes.mean.relative', 'n3.histogram.0', 'tree_shape.min', 'naive_bayes.histogram.5', 'tree_depth.histogram.3', 'sparsity.histogram.3', 'one_nn.sd.relative', 'one_itemset.histogram.9', 'g_mean.histogram.0', 'nr_outliers', 'impconceptvar.histogram.6', 'linear_discr.histogram.2.relative', 'l2.mean', 'best_node.mean', 'nodes_repeated.sd']"
AG 3 - Compacto/esparso,0.6771929824561403,0.06806273949055684,0.6623743786162091,18,0.12,"['h_mean.histogram.9', 'var.histogram.0', 'class_conc.histogram.0', 'best_node.max', 'mad.histogram.0', 't_mean.histogram.9', 'sparsity.histogram.9', 'worst_node.mean.relative', 'tree_depth.histogram.5', 'best_node.histogram.6', 'g_mean.histogram.9', 'elite_nn.mean', 'random_node.histogram.8.relative', 'sd.histogram.0', 'one_nn.max.relative', 'elite_nn.min.relative', 'joint_ent.histogram.0', 'cov.histogram.0']"
AG 1 - Clássico binário,0.6444444444444445,0.08808112510856037,0.6230151339420764,69,0.46,"['min.histogram.9', 'h_mean.histogram.9', 'var.histogram.0', 'best_node.max', 'mad.histogram.0', 't_mean.histogram.9', 'sparsity.histogram.9', 'leaves_corrob.mean', 'worst_node.mean.relative', 'range.histogram.0', 'best_node.histogram.6', 'range.min', 'g_mean.histogram.9', 'random_node.histogram.8.relative', 'nr_attr', 'one_nn.max.relative', 'leaves_homo.sd', 'eigenvalues.histogram.9', 'one_nn.min', 't4', 'f3.mean', 'leaves_homo.max', 'cov.histogram.0', 'leaves_branch.mean', 'eigenvalues.histogram.0', 'one_nn.histogram.0.relative', 'impconceptvar.mean', 'tree_shape.median', 'elite_nn.max', 'nodes_per_level.median', 'iq_range.histogram.9', 'leaves_homo.median', 'nodes_per_level.max', 'one_nn.max', 'conceptvar.mean', 'tree_shape.mean', 'elite_nn.histogram.9.relative', 'mean.histogram.0', 'elite_nn.max.relative', 'random_node.mean.relative', 'elite_nn.min', 'naive_bayes.mean.relative', 'elite_nn.mean.relative', 'one_nn.mean.relative', 'f3.max', 'random_node.histogram.0.relative', 'tree_imbalance.histogram.9', 'sd.histogram.9', 'tree_shape.min', 'naive_bayes.histogram.5', 'cov.histogram.9', 'tree_depth.histogram.1', 'roy_root', 'sparsity.histogram.3', 'one_nn.sd.relative', 'range.median', 'nodes_per_inst', 'n2.histogram.7', 'one_itemset.histogram.9', 'g_mean.histogram.0', 'linear_discr.min.relative', 'hubs.mean', 'wg_dist.histogram.4', 'linear_discr.histogram.2.relative', 'mut_inf.sd', 'naive_bayes.max', 'impconceptvar.histogram.7', 'mut_inf.histogram.9', 'skewness.min']"
