Dataset,attr_conc.mean,cohesiveness.min,cov.sd,eigenvalues.histogram.2,hubs.sd,impconceptvar.histogram.6,linear_discr.histogram.3.relative,linear_discr.histogram.7,max.max,median.mean,mut_inf.histogram.2,mut_inf.histogram.6,n2.histogram.2,naive_bayes.sd,nodes_per_level.histogram.1,tree_depth.histogram.7,Best
pollen_did871,0.0245499625518,1494.25,16.5301889753935,0.0,0.2894438000485648,0.0005197505197505,3.5,0.1,35.8028,-0.1263,0.0,0.0,0.0654885654885654,0.0149810084736498,0.1621621621621621,0.0495474035254883,Perceptron
prnn_synth_did464,0.063546672757629,120.75,,0.0,0.3244577378492855,0.0,7.0,0.0,1.09317811,0.22399685,0.0,0.0,0.196,0.0548128127762519,0.0,0.1012658227848101,SVM
pwLinear_did721,0.0096963892042128,36.25,0.0372016918761859,0.1,0.3029027182510302,0.09,4.0,0.0,1.0,0.1,0.0,0.0,0.245,0.0944281031614352,0.1111111111111111,0.1126760563380281,SVM
qsar-biodeg_did1494,0.0573011284063338,130.5,1.7805997843931285,0.0,0.2474459777864762,0.0255924170616113,2.5,0.2,147.0,2.2048853658536585,0.1463414634146341,0.073170731707317,0.1317535545023696,0.0380486248562476,0.1176470588235294,0.0905349794238683,MLP
quake_did772,0.0765111679318123,655.0,154.04353514524468,0.0,0.2652692915303343,0.2998163452708907,2.5,0.0,656.0,53.77,0.0,0.0,0.1005509641873278,0.0136269627235029,0.2121212121212121,0.0583050847457627,LogisticRegression
rmftsa_sleepdata_did679,0.0674469712939879,499.25,,0.0,0.2788289173987791,0.0,1.5,0.0,187.0,83.575,0.0,0.0,,0.1325085273179003,0.0555555555555555,0.1521394611727416,DecisionTree
seeds_did1499,0.2394468069050579,67.25,0.8562473071626118,0.0,0.3259064925080812,0.2047619047619047,2.5,0.0,21.18,6.732992857142857,0.0,0.1428571428571428,0.2047619047619047,0.1167503209424336,0.0,0.0,MLP
segment_did958,0.0668382097101235,418.75,420.1662939382759,0.0526315789473684,0.2978143675125727,0.0004329004329004,3.5,0.0,1386.33,19.49949257894737,0.0526315789473684,0.0526315789473684,0.1822510822510822,0.0225450215669776,0.0,0.1714285714285714,LogisticRegression
seismic-bumps_did1500,0.2394468069050579,67.25,0.8562473071626118,0.0,0.3259064925080814,0.2047619047619047,2.5,0.0,21.18,6.732992857142857,0.0,0.1428571428571428,0.2047619047619047,0.1167503209424336,0.0,0.0,MLP
space_ga_did737,0.1993831661757331,900.625,1691631.1866858513,0.0,0.2846646418949211,0.00418410041841,1.5,0.2,17.943991,-15028608.453733668,0.1666666666666666,0.0,0.1673640167364016,0.144205532684936,0.1304347826086956,0.0365714285714285,DecisionTree
stock_did841,0.1301848870414755,286.0,29.53716271025422,0.1111111111111111,0.2895346867086011,0.0126315789473684,6.0,0.0,94.125,41.63022222222222,0.1111111111111111,0.0,0.1136842105263157,0.2335614239346573,0.0909090909090909,0.1012658227848101,KNN
strikes_did770,0.0510520499567853,167.25,138.35494397181603,0.0,0.2708596708360263,0.0688,7.0,0.1,7000.0,359.4666666666667,0.0,0.0,0.1952,0.1682832157613844,0.1428571428571428,0.2456140350877192,DecisionTree
student_lifestyle_dataset_did46752,0.0131225139591471,564.75,3.604214568402918,0.0,0.2548034196287854,0.108,6.5,0.0,2000.0,146.7442857142857,0.1428571428571428,0.0,0.155,0.0200277585143997,0.0,0.0,DecisionTree
sylvine_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True_did44678,0.0202938799795519,460.625,55846.12935675479,0.0,0.2212329926483319,0.0865,6.0,0.1,7021.0,784.35,0.0,0.0,0.018,0.0151290742905469,0.0909090909090909,0.0343347639484978,LogisticRegression
thyroid-new_did40682,0.0947953168132331,59.0,11.178563115248627,0.0,0.302339439203163,0.0046511627906976,3.0,0.0,144.0,24.84,0.2,0.2,0.3209302325581395,0.0381979953491965,0.0,0.0,LogisticRegression
total_score_did46505,0.0253818204854647,181.25,507476089353.5017,0.0,0.2976350408179339,0.0083449235048678,6.0,0.1,3606155300000.0,700357389.6514971,0.1,0.1,0.125173852573018,0.0217321213476962,0.25,0.0372093023255813,DecisionTree
user-knowledge_did1508,0.0280887148984374,138.5,0.0033817331402234,0.0,0.2700113275545512,0.0223325062034739,2.0,0.0,0.99,0.354,0.0,0.0,0.1215880893300248,0.0514701009668934,0.1,0.1012658227848101,MLP
vehicle_did54,0.1089434710773664,174.75,851.9534342935541,0.0,0.2780005799413281,0.1950354609929078,2.5,0.1,1018.0,111.55555555555556,0.1666666666666666,0.0555555555555555,0.0366430260047281,0.0591370345363631,0.1764705882352941,0.0743494423791821,LogisticRegression
vertebra-column_did1523,0.0820858212832451,77.25,130.49733619734462,0.0,0.308736833171647,0.0,5.0,0.1,418.543082,49.50869141666667,0.0,0.0,0.1709677419354838,0.0751919730625681,0.125,0.2022471910112359,LogisticRegression
vinnie_did860,0.0182544940436899,159.25,,0.0,0.3286632524991669,0.0447368421052631,3.0,0.1,88.0,46.5,0.0,0.0,,0.0620269106303988,0.3333333333333333,0.0,DecisionTree
visualizing_galaxy_did925,0.1477533001229903,125.75,119.38042149827916,0.25,0.3179844654805499,0.1764705882352941,4.0,0.0,133.0,23.07650775,0.0,0.0,0.0619195046439628,0.2265190751943315,0.0,0.1081081081081081,MLP
volcanoes-a1_did1527,0.0088719121487146,1179.5,78.62756184786535,0.0,0.2184335445376722,0.0006150061500615,3.5,0.1,1007.0,338.46903683333335,0.0,0.0,0.0,0.0118848732653147,0.0666666666666666,0.0881355932203389,DecisionTree
wall-robot-navigation_did1525,0.0497985959652515,2563.0,,0.0,0.3416705418121477,0.0,3.5,0.2,5.0,0.8507500000000001,0.0,0.0,0.0535190615835777,0.0230341093807962,0.0,0.0,DecisionTree
waveform_did47155,0.0266340543169889,217.0,0.7245831537757443,0.0,0.2719106018401606,0.06,2.5,0.0,9.1382,1.6742619047619045,0.0952380952380952,0.1904761904761904,0.07875,0.042573465914816,0.3571428571428571,0.0732984293193717,LogisticRegression
wdbc_did1510,0.1024948709495938,70.3125,9367.75487681634,0.0,0.2576866109543827,0.0351493848857645,3.0,0.3,4254.0,50.799370566666674,0.1333333333333333,0.0333333333333333,0.2355008787346221,0.0299828743139374,0.0,0.2790697674418604,LogisticRegression
wilt_did40983,0.0391732693080826,1211.0,1333.2889440105732,0.2,0.1941755056131011,0.0,3.5,0.0,1848.916667,198.045972,0.0,0.2,0.2636908452159537,0.0416987994907039,0.0833333333333333,0.0522875816993464,KNN
wine_did43980,0.0256638662643664,642.25,91.6030864203118,0.0,0.2478203039749899,0.0125293657008613,4.5,0.1,440.0,15.542981818181818,0.1818181818181818,0.0,0.0489428347689898,0.1339177661110933,0.0555555555555555,0.1287779237844941,DecisionTree
