Dataset,min.histogram.9,var.histogram.0,t_mean.histogram.9,sparsity.histogram.9,worst_node.mean.relative,range.min,elite_nn.mean,random_node.histogram.8.relative,eigenvalues.histogram.9,t4,cov.histogram.0,hubs.histogram.4,two_itemset.histogram.6,nodes_per_level.median,iq_range.histogram.9,leaves_homo.median,nodes_per_level.max,one_nn.max,elite_nn.max.relative,nodes_per_level.histogram.4,one_nn.mean,can_cor.max,naive_bayes.histogram.5,tree_depth.histogram.3,cov.histogram.9,one_nn.sd.relative,one_itemset.histogram.9,elite_nn.histogram.8.relative,impconceptvar.histogram.6,linear_discr.histogram.2.relative,mut_inf.histogram.9,Best
PieChart1_did1451,0.027027027027027,0.972972972972973,0.027027027027027,0.027027027027027,7.0,0.5,0.8412877263581489,2.5,0.027027027027027,0.027027027027027,0.996996996996997,0.1546099290780141,0.0221026925098148,3.0,0.027027027027027,1536.0,6.0,0.9142857142857144,1.0,0.2142857142857142,0.8497585513078469,0.4831839452193803,0.4,0.1052631578947368,0.0015015015015015,5.0,0.0077519379844961,7.0,0.0212765957446808,4.0,0.027027027027027,SVM
PizzaCutter1_did1443,0.027027027027027,0.972972972972973,0.027027027027027,0.027027027027027,7.0,0.49,0.7616689280868385,3.0,0.027027027027027,0.027027027027027,0.996996996996997,0.1558245083207261,0.0201551825404185,3.5,0.027027027027027,859.4285714285714,6.0,0.9090909090909092,2.5,0.1428571428571428,0.8593622795115332,0.4968891726810759,0.2,0.1075268817204301,0.0015015015015015,5.0,0.0077519379844961,3.0,0.0181543116490166,6.5,0.054054054054054,LogisticRegression
Pumpkin_Seeds_did46951,0.1666666666666666,0.8333333333333334,0.1666666666666666,0.0833333333333333,1.0,0.0757999999999999,0.798,4.0,0.0833333333333333,0.0833333333333333,0.9848484848484848,0.068,0.0104895104895104,13.0,0.1666666666666666,48965.81818181818,27.0,0.748,5.0,0.1428571428571428,0.6891999999999999,0.7691532244226179,0.0,0.1676190476190476,0.0151515151515151,7.0,0.0064102564102564,1.5,0.1312,2.0,0.25,LogisticRegression
SPECTF_did337,0.0681818181818181,0.1363636363636363,0.0681818181818181,0.0227272727272727,3.5,41.0,0.7079831932773109,3.5,0.0227272727272727,0.5454545454545454,0.4619450317124736,0.0916905444126074,0.33772705699616,4.0,0.0227272727272727,320.0,6.0,1.0,3.5,0.125,0.8885714285714286,0.5763608304509898,0.0,0.1016949152542373,0.0021141649048625,7.0,0.0032467532467532,3.5,0.0,3.5,0.0227272727272727,DecisionTree
Titanic_did40704,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6666666666666666,2.5,2.441,0.7673611682435212,3.5,0.3333333333333333,1.0,0.3333333333333333,0.0395274875056792,0.05,2.0,0.3333333333333333,52.0,4.0,0.8144796380090498,5.0,0.0,0.5896297819827231,0.470040172366416,0.1,0.0,0.3333333333333333,7.0,0.125,7.0,0.0090867787369377,4.5,0.3333333333333333,DecisionTree
air-quality-and-pollution-assessment_did46762,0.1111111111111111,0.8888888888888888,0.1111111111111111,0.1111111111111111,1.0,3.0700000000000003,0.7586,3.0,0.1111111111111111,0.2222222222222222,0.75,0.1012,0.0527681660899653,8.5,0.1111111111111111,161319.38461538462,23.0,0.82,4.0,0.0769230769230769,0.7948000000000001,0.9660364740521296,0.2,0.2387475538160469,0.0277777777777777,6.0,0.0065359477124183,3.0,0.237,5.0,0.1111111111111111,DecisionTree
algerian_forest_fires_did46279,0.0769230769230769,0.9230769230769232,0.0769230769230769,0.0769230769230769,1.0,0.0,0.9756666666666668,2.5,0.0769230769230769,0.2307692307692307,0.7564102564102564,0.139917695473251,0.0086996336996337,1.0,0.0769230769230769,18.666666666666668,2.0,0.96,5.5,0.0,0.8644999999999999,0.8439905600197832,0.1,0.0,0.0128205128205128,6.0,0.0144927536231884,2.5,0.1646090534979424,3.5,0.2307692307692307,DecisionTree
analcatdata_supreme_did728,0.1428571428571428,0.8571428571428571,0.1428571428571428,0.7142857142857143,1.5,1.0,0.76544851912668,2.0,0.1428571428571428,0.1428571428571428,0.8571428571428571,0.0621915103652517,0.0875,4.0,0.1428571428571428,896.0,9.0,1.0,5.5,0.0,0.955823754789272,0.7071758352260283,0.0,0.1030927835051546,0.0476190476190476,3.0,0.1111111111111111,5.5,0.0027147087857847,4.0,0.1428571428571428,KNN
autoUniv-au1-1000_did1547,0.0,0.05,0.05,0.0,6.0,1.0,0.68,3.0,0.1,0.9,0.7526315789473684,0.128,0.0184210526315789,15.5,0.95,15928.888888888889,47.0,0.73,2.0,0.0,0.673,0.3098739428558508,0.2,0.0572450805008944,0.0052631578947368,6.0,0.075,3.0,0.019,7.0,0.2,SVM
balance-scale_did11,0.0,0.0,0.0,0.0,4.0,4.0,0.4512288786482335,2.0,0.0,1.0,0.0,0.0784,0.0,15.5,0.0,5152.0,31.0,0.7936507936507936,1.0,0.1,0.7026881720430107,0.8226008887803493,0.0,0.0249221183800623,0.0,4.0,0.0,2.0,0.0384,3.0,0.5,MLP
balloon_did914,0.0,0.0,0.0,0.0,2.0,1.7799999999999998,0.7786616915422886,3.5,0.1,1.0,0.7729419703103914,0.1024487756121939,0.039397829100329546,4.0,0.0,266.6666666666667,4.0,0.825,1.5,0.0,0.7786616915422886,0.5469469579640193,0.0,0.1632653061224489,0.0222222222222222,1.5,0.0833333333333333,3.5,0.0,4.0,0.0,SVM
banana_did1460,0.5,0.5,0.5,0.5,3.5,5.58,0.5286792452830189,7.0,0.5,1.0,0.0,0.030188679245283,0.2491349480968858,5.0,0.5,206506.66666666663,76.0,0.8886792452830189,1.0,0.0571428571428571,0.8737735849056605,0.0835388815761972,0.1,0.3110008271298594,0.0,1.0,0.0294117647058823,6.0,0.0,3.5,0.5,SVM
bank-marketing_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True_did44402,0.8571428571428571,0.8571428571428571,0.1428571428571428,0.1428571428571428,2.0,30.0,0.662,5.0,0.1428571428571428,0.1428571428571428,0.9523809523809524,0.0685,0.0011648223645894,15.0,0.1428571428571428,73355.63636363637,48.0,0.73,3.0,0.0952380952380952,0.694,0.5021285367717784,0.1,0.1575603557814485,0.0476190476190476,1.0,0.03125,1.5,0.0005,3.5,0.1428571428571428,LogisticRegression
banknote-authentication_did1462,0.25,0.25,0.25,0.25,1.5,10.9977,0.7936686766105998,3.0,0.25,0.75,0.3333333333333333,0.1158892128279883,0.0330578512396694,4.0,0.25,288.0,6.0,1.0,3.0,0.1428571428571428,0.9992700729927008,0.9299744356425366,0.0,0.0,0.1666666666666666,3.0,0.0227272727272727,6.5,0.010204081632653,3.5,0.25,KNN
blood-transfusion-service-center_did1464,0.25,0.75,0.25,0.25,5.0,49.0,0.4730630630630631,4.0,0.25,0.25,0.6666666666666666,0.1136363636363636,0.227154046997389,8.0,0.25,11207.111111111111,25.0,0.84,1.0,0.0526315789473684,0.5685405405405405,0.3592441979316585,0.2,0.1984732824427481,0.1666666666666666,7.0,0.03125,4.0,0.0013368983957219,7.0,0.25,LogisticRegression
bodyfat_did778,0.0714285714285714,0.7857142857142857,0.0714285714285714,0.0714285714285714,1.0,0.1139,0.9961538461538462,6.5,0.0714285714285714,0.1428571428571428,0.8131868131868132,0.0912698412698412,0.2356532356532356,1.0,0.0714285714285714,4.0,1.0,0.8846153846153846,6.0,0.0,0.6899999999999998,0.8321176188744445,0.0,0.0,0.0109890109890109,5.0,0.0238095238095238,3.0,0.0674603174603174,4.0,0.0714285714285714,DecisionTree
breast-w_did15,0.0,0.1111111111111111,0.1111111111111111,0.1111111111111111,3.0,9.0,0.8369979296066251,2.0,0.1111111111111111,0.7777777777777778,0.1388888888888889,0.1244635193133047,0.0515695067264574,4.0,0.1111111111111111,405.3333333333333,6.0,1.0,1.0,0.0,0.954265010351967,0.9128968493972848,0.0,0.1066666666666666,0.0833333333333333,3.0,0.0222222222222222,6.5,0.0014306151645207,3.0,0.2222222222222222,KNN
california_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True_did44362,0.125,0.875,0.125,0.125,1.0,4.7972136222910216,0.6715,4.0,0.125,0.125,0.9285714285714286,0.056,0.0248015873015873,9.0,0.125,26009.6,35.0,0.6,3.0,0.0588235294117647,0.539,0.6455566253480386,0.0,0.0946745562130177,0.0357142857142857,5.0,0.0208333333333333,4.0,0.007,2.0,0.125,LogisticRegression
chatfield_4_did820,0.0833333333333333,0.6666666666666666,0.0833333333333333,0.3333333333333333,2.0,182.3,0.7998188405797102,6.5,0.0833333333333333,0.3333333333333333,0.0454545454545454,0.0638297872340425,0.1266835016835016,2.0,0.0833333333333333,224.0,4.0,0.9166666666666666,5.0,0.0,0.8552536231884058,0.7701494100775547,0.1,0.0975609756097561,0.1969696969696969,2.0,0.0138888888888888,3.0,0.025531914893617,7.0,0.1666666666666666,LogisticRegression
chscase_vine2_did814,0.5,0.5,0.5,0.5,3.0,8.0,0.4808973172987975,3.0,0.5,0.5,0.0,0.1367521367521367,0.0,6.0,0.5,4778.666666666667,12.0,0.8260869565217391,2.0,0.0769230769230769,0.5711840888066605,0.057783266607999,0.1,0.1317365269461078,0.0,4.0,0.1428571428571428,3.0,0.0106837606837606,2.5,0.5,DecisionTree
climate-model-simulation-crashes_did1467,0.15,0.9,0.05,0.05,6.0,0.993941,0.8500000000000002,3.0,0.05,0.1,0.9947368421052633,0.1277777777777777,0.1878947368421052,3.5,0.05,640.0,6.0,0.8703703703703703,2.0,0.2,0.8481481481481481,0.433546029582943,0.2,0.1159420289855072,0.0052631578947368,4.0,0.0193548387096774,6.5,0.0037037037037037,4.0,0.1,SVM
covertype_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True_did44377,0.2,0.2,0.2,0.1,1.0,3.2078280448913574,0.63,3.0,0.1,0.8,0.4,0.071,0.5398148148148149,11.0,0.1,114688.0,36.0,0.745,6.0,0.0434782608695652,0.686,0.2749334235936999,0.1,0.2205663189269746,0.0222222222222222,7.0,0.0333333333333333,6.5,0.097,2.5,0.1,MLP
credit_did44345,0.1,0.9,0.1,0.2,4.0,8.0,0.6005,2.0,0.1,0.1,0.9777777777777776,0.0405,0.0040278286341999,19.0,0.1,136874.66666666666,45.0,0.58,3.0,0.05,0.5284999999999999,0.3246985355759101,0.4,0.114856429463171,0.0222222222222222,6.0,0.0253164556962025,5.0,0.0,3.0,0.1,LogisticRegression
dataset_credit-g_did46532,0.05,0.95,0.05,0.15,4.0,1.0,0.62,3.0,0.05,0.05,0.9947368421052633,0.119,0.0577676240208877,13.0,0.05,20480.0,22.0,0.66,3.5,0.0588235294117647,0.607,0.4246425251402326,0.0,0.0902255639097744,0.0052631578947368,5.0,0.0246913580246913,3.0,0.067,3.0,0.05,LogisticRegression
delta_ailerons_did803,0.4,0.4,0.2,0.2,1.0,0.00232,0.8949379107111902,3.0,0.2,0.6,0.2,0.130453078973208,0.1228070175438596,18.5,0.2,185002.66666666663,73.0,0.9242636746143056,3.0,0.1,0.9107880139306932,0.8382316895350783,0.0,0.0997229916897507,0.1,1.0,0.0769230769230769,5.5,0.0,2.0,0.2,SVM
depression_2020_did46876,0.1,0.55,0.3,0.35,5.5,1.0,0.6892987294395745,4.5,0.05,0.45,0.8631578947368421,0.0580825752274317,0.0143149284253578,8.5,0.2,4296248.888888889,16.0,0.7692307692307693,2.0,0.1388888888888889,0.7347729735053679,0.1619354828360757,0.1,0.1426146010186757,0.0052631578947368,6.0,0.0089285714285714,7.0,0.0622813156053184,3.0,0.1,LogisticRegression
diabetes_did37,0.125,0.875,0.125,0.125,2.0,2.342,0.6368933697881066,3.0,0.125,0.25,0.8571428571428571,0.0768229166666666,0.0061224489795918,8.0,0.125,7224.888888888889,22.0,0.7922077922077922,2.0,0.1538461538461538,0.6796650717703349,0.5506842068290059,0.1,0.1422924901185771,0.0357142857142857,6.0,0.0149253731343283,6.0,0.0013020833333333,5.0,0.125,LogisticRegression
disclosure_x_bias_did774,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.0,2.0,17.522004,0.4728855721393035,7.0,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.0830815709969788,0.1354166666666666,15.0,0.3333333333333333,73728.0,26.0,0.5909090909090909,2.0,0.0588235294117647,0.497105382180009,0.1547164401356869,0.2,0.0696055684454756,0.6666666666666666,1.0,0.75,1.5,0.0015105740181268,3.0,0.3333333333333333,LogisticRegression
dummy_did45604,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.0,2.0,109.59168126170503,0.6639999999999999,5.0,0.1666666666666666,1.0,0.1333333333333333,0.11,0.2617283950617284,5.5,0.1666666666666666,1408.0,20.0,0.96,1.5,0.0,0.927,0.7616039876609424,0.3,0.0522875816993464,0.0666666666666666,4.0,0.1666666666666666,5.0,0.1,5.5,0.1666666666666666,LogisticRegression
ecoli_did1011,0.2857142857142857,0.1428571428571428,0.1428571428571428,0.2857142857142857,1.0,0.5,0.8040998217468805,5.0,0.1428571428571428,0.7142857142857143,0.5714285714285714,0.1309523809523809,0.0,3.0,0.2857142857142857,160.0,5.0,1.0,6.0,0.0,0.9283422459893046,0.8818474126314496,0.2,0.1632653061224489,0.0476190476190476,3.0,0.0588235294117647,7.0,0.3184523809523809,3.0,0.1428571428571428,SVM
electricity_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True_did44372,0.1428571428571428,0.2857142857142857,0.2857142857142857,0.1428571428571428,1.0,0.807871,0.6855,3.0,0.1428571428571428,0.5714285714285714,0.4761904761904761,0.02,0.0066021126760563,17.0,0.1428571428571428,57344.0,37.0,0.75,4.0,0.1176470588235294,0.691,0.4579746684622038,0.3,0.0552845528455284,0.0952380952380952,6.0,0.0273972602739726,3.0,0.102,6.0,0.1428571428571428,DecisionTree
eye_movements_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True_did44423,0.2,0.9,0.05,0.1,1.0,0.303,0.5125,5.0,0.05,0.1,0.9526315789473684,0.084,0.0,19.0,0.05,475136.0,39.0,0.64,2.5,0.0869565217391304,0.5595000000000001,0.1773957029833103,0.0,0.1602959309494451,0.0052631578947368,6.0,0.0046948356807511,5.0,0.151,2.0,0.05,LogisticRegression
football-player-position_did46764,0.0909090909090909,0.9090909090909092,0.0909090909090909,0.0909090909090909,1.0,0.5,0.5059449656417869,1.5,0.0909090909090909,0.1818181818181818,0.9454545454545454,0.0819717529770146,0.0002158894645941,21.0,0.0909090909090909,175104.0,59.0,0.6952908587257618,2.0,0.0,0.6532758910944124,0.8714315437098507,0.1,0.1424390243902439,0.0181818181818181,6.0,0.0069930069930069,3.5,0.281362503461645,7.0,0.1818181818181818,LogisticRegression
fri_c3_1000_25_did715,0.28,0.04,0.68,0.16,1.0,3.351572,0.6990000000000001,2.0,0.04,0.84,0.9666666666666668,0.016,0.0019341563786008,8.0,0.36,1334.857142857143,14.0,0.67,6.5,0.1111111111111111,0.6050000000000001,0.4414903204218179,0.1,0.0551724137931034,0.0066666666666666,3.0,0.2177777777777777,5.0,0.131,5.0,0.04,DecisionTree
glass_did1005,0.1111111111111111,0.2222222222222222,0.1111111111111111,0.2222222222222222,3.5,0.02278,0.6298701298701299,3.0,0.1111111111111111,0.5555555555555556,0.6111111111111112,0.0747663551401869,0.0538243626062322,3.5,0.1111111111111111,352.0,5.0,0.9545454545454546,4.5,0.0,0.8268398268398268,0.3996313399450295,0.0,0.123076923076923,0.0277777777777777,4.0,0.025,6.0,0.0046728971962616,3.5,0.1111111111111111,KNN
heart-statlog_did53,0.0769230769230769,0.7692307692307693,0.0769230769230769,0.2307692307692307,2.0,1.0,0.3407407407407407,2.5,0.0769230769230769,0.2307692307692307,0.9230769230769232,0.0703703703703703,0.0917917034421888,4.0,0.0769230769230769,490.6666666666667,11.0,0.7037037037037037,1.0,0.0,0.5814814814814815,0.7384089317721091,0.3,0.0879120879120879,0.0128205128205128,4.0,0.02,5.5,0.0925925925925925,2.5,0.1538461538461538,LogisticRegression
hepatitis_c_virus_hcv_for_egyptian_patients_did46850,0.0357142857142857,0.7857142857142857,0.0357142857142857,0.2857142857142857,7.0,1.0,0.2606923157126473,2.5,0.0714285714285714,0.2142857142857142,0.984126984126984,0.1162454873646209,0.0128157426929596,12.0,0.1071428571428571,86202.18181818182,72.0,0.2877697841726618,7.0,0.05,0.2302575331039516,0.1779516468777651,0.2,0.1297297297297297,0.0079365079365079,6.0,0.0711111111111111,2.5,0.2649819494584837,4.0,0.0714285714285714,LogisticRegression
house_16H_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True_did44387,0.0625,0.9375,0.0625,0.0625,2.0,0.076923,0.6460000000000001,2.5,0.0625,0.0625,0.9,0.078,0.0081362476728952,13.0,0.0625,12117.333333333334,28.0,0.705,2.0,0.1875,0.651,0.6038361691573098,0.0,0.1741176470588235,0.0083333333333333,6.0,0.0056818181818181,5.5,0.025,5.0,0.0625,DecisionTree
ilpd-numeric_did41945,0.1,0.7,0.1,0.1,6.0,1.0,0.6275569842197546,2.5,0.1,0.3,0.9333333333333332,0.1012006861063464,0.0128774422735346,6.0,0.1,22155.636363636364,11.0,0.7288135593220338,1.0,0.15,0.6465225014611338,0.3466499759202542,0.1,0.1856540084388185,0.0222222222222222,5.0,0.0140845070422535,6.0,0.0,2.0,0.2,LogisticRegression
ionosphere_did59,0.0588235294117647,0.0294117647058823,0.0294117647058823,0.0294117647058823,2.0,0.0,0.7726190476190475,3.0,0.0294117647058823,0.7058823529411765,0.3885918003565062,0.0883190883190883,0.0,3.0,0.2941176470588235,245.33333333333331,4.0,0.9428571428571428,3.0,0.0,0.8461904761904762,0.7873960178148636,0.2,0.1333333333333333,0.0017825311942959,1.0,0.0094786729857819,3.0,0.0313390313390313,2.5,0.0294117647058823,SVM
jEdit_4.2_4.3_did1048,0.125,0.75,0.125,0.125,4.0,8.0,0.534009009009009,6.0,0.125,0.25,0.8214285714285714,0.05420054200542,0.0067243035542747,10.0,0.125,3296.0,13.0,0.7567567567567568,5.5,0.0,0.5747747747747749,0.3400044435534385,0.1,0.2048780487804878,0.0357142857142857,3.0,0.0204081632653061,2.5,0.3495934959349593,2.0,0.125,KNN
jungle_chess_2pcs_raw_endgame_complete_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True_did44718,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,6.0,0.5605,2.0,0.3333333333333333,1.0,0.2,0.086,0.1057971014492753,17.0,0.3333333333333333,51814.4,83.0,0.8,3.5,0.0,0.7404999999999999,0.5222721403693235,0.1,0.0553907022749752,0.1333333333333333,6.0,0.024390243902439,5.5,0.032,1.0,0.1666666666666666,MLP
kc2_did1063,0.3809523809523809,0.9523809523809524,0.0476190476190476,0.0476190476190476,6.0,2.0,0.7178519593613932,5.5,0.0476190476190476,0.0476190476190476,0.9904761904761904,0.0804597701149425,0.0306254029658284,3.0,0.0476190476190476,2208.0,10.0,0.8301886792452831,2.0,0.0,0.7487663280116111,0.5985821241842396,0.2,0.1167883211678832,0.0047619047619047,2.0,0.0142857142857142,5.5,0.0,6.0,0.2857142857142857,SVM
kdd_ipums_la_97-small_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True_did44392,0.05,0.75,0.05,0.1,2.0,7.0,0.7969999999999999,2.5,0.05,0.1,0.963157894736842,0.0,0.0731675046308547,9.0,0.05,139894.15384615384,23.0,0.84,3.0,0.0869565217391304,0.8055,0.7234444631610536,0.1,0.1896162528216704,0.031578947368421,3.0,0.0393700787401574,5.5,0.138,3.0,0.1,LogisticRegression
machine_cpu_did733,0.3333333333333333,0.6666666666666666,0.1666666666666666,0.1666666666666666,3.0,52.0,0.7992857142857143,2.5,0.1666666666666666,0.1666666666666666,0.9333333333333332,0.124401913875598,0.0828571428571428,2.0,0.1666666666666666,83.2,3.0,1.0,1.0,0.0,0.8571428571428571,0.7915149245764526,0.0,0.1935483870967742,0.0666666666666666,4.0,0.0344827586206896,1.0,0.0,5.5,0.3333333333333333,LogisticRegression
