Dataset,Best,min.histogram.9,h_mean.histogram.9,var.histogram.0,class_conc.histogram.0,best_node.max,mad.histogram.0,elite_nn.median.relative,t_mean.histogram.9,worst_node.mean.relative,tree_depth.histogram.5,range.histogram.0,best_node.histogram.6,g_mean.histogram.9,random_node.histogram.8.relative,one_nn.max.relative,cov.histogram.0,cov.min,naive_bayes.histogram.5
air-quality-and-pollution-assessment_did46762,DecisionTree,0.1111111111111111,0.0909090909090909,0.8888888888888888,0.1111111111111111,0.684,0.8888888888888888,4.0,0.1111111111111111,1.0,0.2035225048923679,0.5555555555555556,0.1,0.0871212121212121,3.0,5.0,0.75,1.3951168149629931,0.2
algerian_forest_fires_did46279,DecisionTree,0.0769230769230769,0.0769230769230769,0.9230769230769232,0.3076923076923077,1.0,0.3076923076923077,6.0,0.0769230769230769,1.0,0.0,0.3846153846153846,0.0,0.0769230769230769,2.5,2.5,0.7564102564102564,0.0,0.1
analcatdata_supreme_did728,KNN,0.1428571428571428,0.1428571428571428,0.8571428571428571,0.5714285714285714,1.0,0.8571428571428571,3.0,0.1428571428571428,1.5,0.1649484536082474,0.7142857142857143,0.0,0.1428571428571428,2.0,5.5,0.8571428571428571,0.0007705920296086,0.0
autoUniv-au1-1000_did1547,SVM,0.0,0.0,0.05,0.65,0.75,0.0,5.5,0.05,6.0,0.3005366726296959,0.0,0.0,0.0,3.0,1.0,0.7526315789473684,8.40840840840903e-05,0.2
balance-scale_did11,MLP,0.0,0.0909090909090909,0.0,0.3333333333333333,0.5873015873015873,0.0,1.0,0.0,4.0,0.0934579439252336,0.0,0.4,0.0,2.0,4.0,0.0,0.0,0.0
balloon_did914,SVM,0.0,0.0,0.0,0.0,0.845,0.0,1.5,0.0,2.0,0.1632653061224489,0.0,0.0,0.0,3.5,1.5,0.7729419703103914,0.0020535180822297,0.0
banana_did1460,SVM,0.5,0.0909090909090909,0.5,0.5,0.6132075471698113,0.5,1.0,0.5,3.5,0.0413564929693962,0.5,0.0,0.0871212121212121,7.0,7.0,0.0,0.1894077068710493,0.1
bank-marketing_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True_did44402,LogisticRegression,0.8571428571428571,0.0909090909090909,0.8571428571428571,0.4285714285714285,0.765,0.7142857142857143,3.0,0.1428571428571428,2.0,0.1778907242693773,0.8571428571428571,0.1,0.0871212121212121,5.0,4.0,0.9523809523809524,0.5060445222611307,0.1
banknote-authentication_did1462,KNN,0.25,0.0909090909090909,0.25,0.25,0.9051094890510948,0.25,3.0,0.25,1.5,0.1509433962264151,0.25,0.2,0.0871212121212121,3.0,7.0,0.3333333333333333,1.653337970403619,0.0
blood-transfusion-service-center_did1464,LogisticRegression,0.25,0.25,0.75,0.25,0.7702702702702703,0.75,1.0,0.25,5.0,0.1577608142493638,0.75,0.0,0.25,4.0,7.0,0.6666666666666666,8.638652649814945,0.2
bodyfat_did778,DecisionTree,0.0714285714285714,0.0714285714285714,0.7857142857142857,0.3571428571428571,1.0,0.5,6.5,0.0714285714285714,1.0,0.0,0.5,0.0,0.0714285714285714,6.5,3.0,0.8131868131868132,0.0057871457029026,0.0
breast-w_did15,KNN,0.0,0.1111111111111111,0.1111111111111111,0.2222222222222222,0.9714285714285714,0.7777777777777778,2.0,0.1111111111111111,3.0,0.1333333333333333,0.0,0.0,0.1111111111111111,2.0,6.5,0.1388888888888889,1.4393115830638117,0.0
california_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True_did44362,LogisticRegression,0.125,0.0909090909090909,0.875,0.375,0.79,0.875,4.0,0.125,1.0,0.272189349112426,0.875,0.0,0.0871212121212121,4.0,2.0,0.9285714285714286,0.0068829973364542,0.0
chatfield_4_did820,LogisticRegression,0.0833333333333333,0.0833333333333333,0.6666666666666666,0.0833333333333333,0.9565217391304348,0.8333333333333334,3.0,0.0833333333333333,2.0,0.1951219512195122,0.0833333333333333,0.2,0.0833333333333333,6.5,3.0,0.0454545454545454,273.54658119658126,0.1
chscase_vine2_did814,DecisionTree,0.5,0.5,0.5,0.5,1.0,0.5,1.5,0.5,3.0,0.1317365269461078,0.5,0.0,0.5,3.0,3.0,0.0,0.0,0.1
climate-model-simulation-crashes_did1467,SVM,0.15,0.05,0.9,0.45,0.925925925925926,0.9,1.5,0.05,6.0,0.0869565217391304,0.9,0.0,0.05,3.0,1.0,0.9947368421052633,0.0,0.2
covertype_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True_did44377,MLP,0.2,0.0909090909090909,0.2,0.9,0.705,0.1,3.0,0.2,1.0,0.1818181818181818,0.1,0.1,0.0871212121212121,3.0,7.0,0.4,0.0034020881181309,0.1
credit_did44345,LogisticRegression,0.1,0.1,0.9,0.6,0.755,0.9,3.0,0.1,4.0,0.212234706616729,0.8,0.0,0.1,2.0,2.0,0.9777777777777776,0.0017158579289643,0.4
dataset_credit-g_did46532,LogisticRegression,0.05,0.05,0.95,0.85,0.7,0.95,2.0,0.05,4.0,0.2105263157894736,0.95,0.0,0.05,3.0,1.0,0.9947368421052633,0.000103103103103,0.0
delta_ailerons_did803,SVM,0.4,0.0909090909090909,0.4,0.4,0.9453015427769986,0.4,3.0,0.2,1.0,0.2585410895660203,0.2,0.0,0.0871212121212121,3.0,4.0,0.2,4.441077507986145e-08,0.0
depression_2020_did46876,LogisticRegression,0.1,0.2,0.55,0.95,0.8391608391608392,0.6,1.0,0.3,5.5,0.1595925297113752,0.55,0.0,0.25,4.5,1.0,0.8631578947368421,0.0013133314907489,0.1
diabetes_did37,LogisticRegression,0.125,0.125,0.875,0.375,0.7792207792207793,0.25,1.0,0.125,2.0,0.1660079051383399,0.5,0.2,0.125,3.0,5.0,0.8571428571428571,0.037425971384724,0.1
disclosure_x_bias_did774,LogisticRegression,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.5606060606060606,0.3333333333333333,1.5,0.3333333333333333,2.0,0.1577726218097447,0.3333333333333333,0.0,0.3333333333333333,7.0,5.0,0.3333333333333333,0.7502212102915542,0.2
dummy_did45604,LogisticRegression,0.1666666666666666,0.0909090909090909,0.1666666666666666,0.1666666666666666,0.81,0.1666666666666666,1.0,0.1666666666666666,2.0,0.1830065359477124,0.1666666666666666,0.0,0.0871212121212121,5.0,6.0,0.1333333333333333,10.94041790370125,0.3
